,FMID,start,end,zip
0,1012790,2017-09-02,2018-06-30,32626
1,1004950,2014-11-14,2014-11-15,60450
2,1011895,2016-11-05,2016-12-31,60637
3,1000986,2016-06-26,2016-08-01,84110
4,1010487,2016-11-26,2016-12-24,24210
5,1011967,2016-09-29,2016-11-06,32531
6,1011033,2016-07-06,2016-09-28,88310
7,1007366,2014-06-01,2014-10-28,56308
8,1011777,2016-05-18,2016-10-19,48912
9,1009998,2014-03-12,2014-11-05,91001
10,1005944,2016-11-19,2016-11-20,98221
11,1003516,2015-09-09,2015-10-14,60640
12,1010223,2014-06-01,2014-10-01,48104
13,1001142,2016-01-01,2016-12-18,21401
14,1012562,2016-09-07,2016-10-12,56208
15,1012129,2016-04-02,2016-12-17,22201
16,1010575,2015-01-01,2015-12-31,19382
17,1003219,2015-11-21,2015-12-05,28694
18,1001245,2015-06-02,2015-09-29,72401
19,1004818,2012-12-01,2012-05-31,39120
20,1005604,2015-11-04,2016-02-27,65605
21,1011826,2017-04-01,2017-06-30,85321
22,1004633,2014-11-22,2014-12-20,98110
23,1010607,2016-11-19,2016-12-17,21014
24,1002802,2014-04-01,2014-12-01,31639
25,1010111,2014-06-28,2014-09-27,64424
26,1010406,2015-04-05,2015-12-27,20814
27,1000254,2014-11-01,2014-12-31,24060
28,1012335,2016-05-04,2016-10-05,80302
29,1002171,2013-11-02,2014-04-26,49712
30,1001519,2013-11-03,2014-04-06,26330
31,1005440,2016-11-06,2017-05-14,14618
32,1002427,2016-11-05,2016-11-19,64113
33,1011923,2016-06-01,2016-09-05,32832
34,1000843,2016-01-01,2016-12-31,91502
35,1008380,2013-11-05,2014-04-29,23220
36,1009017,2014-11-01,2015-04-30,94515
37,1003627,2014-10-11,2014-11-22,71457
38,1006857,2013-08-02,2013-09-27,62901
39,1011740,2016-04-02,2016-10-29,27510
40,1004738,2014-06-14,2014-10-04,21157
41,1012173,2017-04-01,2017-11-18,27511
42,1011823,2017-05-04,2017-09-28,85225
43,1003837,2015-12-05,2015-12-20,29403
44,1004271,2016-10-13,2016-11-22,49720
45,1011689,2016-05-01,2016-08-31,28217
46,1000626,2015-10-03,2015-12-26,27312
47,1011537,2015-12-05,2015-12-27,37408
48,1006635,2014-11-08,2015-03-28,74159
49,1000877,2011-09-01,2011-10-31,23336
50,1012712,2016-05-11,2016-09-28,64106
51,1003131,2015-06-03,2015-10-28,64050
52,1008434,2013-11-16,2013-12-31,20110
53,1008938,2014-05-23,2014-09-26,28610
54,1011959,2017-01-01,2017-05-01,85282
55,1012118,2016-07-06,2016-09-28,43214
56,1011118,2015-05-06,2015-10-28,65203
57,1008316,2015-11-29,2015-12-20,22204
58,1009865,2014-05-27,2014-08-16,72032
59,1002967,2015-09-05,2015-12-26,13326
60,1009614,2014-10-05,2015-05-31,33706
61,1004382,2016-10-06,2017-04-27,66044
62,1006230,2014-05-01,2014-10-30,65010
63,1012106,2016-10-12,2016-12-31,70116
64,1001717,2014-12-14,2015-03-29,22193
65,1012749,2016-01-01,2016-12-31,75201
66,1002739,2014-01-01,2014-12-01,94015
67,1010818,2015-07-01,2015-08-01,24541
68,1009013,2014-04-05,2014-11-29,76201
69,1010066,2016-10-01,2017-06-10,37055
70,1012662,2016-10-22,2016-11-19,17019
71,1008815,2014-01-02,2014-12-31,76010
72,1012192,2016-09-01,2016-12-01,92020
73,1010080,2014-06-05,2014-09-25,99362
74,1012608,2016-10-01,2016-10-29,50309
75,1011952,2016-10-01,2017-07-21,77901
76,1004884,2015-11-07,2016-03-26,49735
77,1010225,2014-06-03,2014-09-30,49525
78,1010998,2015-11-07,2016-05-07,47807
79,1010060,2015-04-25,2015-10-31,38225
80,1010851,2015-11-27,2015-12-20,55810
81,1000312,2016-12-03,2017-03-25,27701
82,1005953,2016-11-05,2017-02-25,55121
83,1011673,2016-01-03,2016-12-18,77003
84,1003103,2016-05-07,2016-10-29,57105
85,1008871,2015-06-01,2015-10-31,48207
86,1009867,2014-06-04,2014-09-24,18042
87,1001570,2014-06-04,2014-10-30,54701
88,1004719,2015-06-03,2015-10-28,66801
89,1000175,2016-11-05,2017-03-25,27278
90,1006678,2014-07-01,2014-09-01,87532
91,1000410,2014-12-04,2015-04-16,72632
92,1004130,2014-06-01,2014-10-01,52556
93,1009026,2014-05-02,2014-10-31,46278
94,1008265,2014-05-03,2014-10-26,94574
95,1001247,2016-07-06,2016-09-28,46140
96,1005069,2012-10-01,2012-12-31,29910
97,1010166,2014-10-04,2014-11-22,23226
98,1012061,2016-11-05,2016-11-19,72701
99,1011668,2015-11-12,2016-04-14,13066
100,1003080,2014-11-01,2015-03-31,35056
101,1011848,2016-09-01,2016-12-31,85721
102,1011847,2016-05-01,2016-12-01,85712
103,1011142,2016-10-16,2017-04-09,85718
104,1000958,2016-11-19,2017-04-01,24551
105,1003332,2014-09-17,2014-10-29,97116
106,1011136,2015-06-17,2015-10-28,80525
107,1001597,2014-06-01,2014-10-18,50441
108,1011098,2015-11-07,2016-04-30,37064
109,1006031,2016-11-01,2016-12-24,22401
110,1012429,2016-01-09,2016-02-27,30307
111,1011620,2016-05-05,2016-11-17,20877
112,1006661,2014-01-04,2014-04-26,49503
113,1002720,2013-11-16,2014-04-19,12561
114,1011962,2016-10-01,2017-04-29,85234
115,1006294,2016-11-06,2016-11-20,60626
116,1010149,2014-10-01,2015-04-01,46530
117,1002208,2015-04-04,2015-05-23,60030
118,1008950,2014-03-12,2014-09-24,30017
119,1005797,2014-12-06,2015-04-18,22066
120,1012497,2016-07-13,2016-09-21,59401
121,1001119,2014-11-01,2015-04-11,65804
122,1003059,2016-01-01,2016-12-31,37745
123,1010623,2015-05-03,2015-10-25,53220
124,1003302,2016-01-01,2016-12-31,12834
125,1010541,2014-10-01,2015-04-01,37387
126,1002652,2014-10-01,2015-05-26,33707
127,1003660,2014-10-18,2015-04-25,49740
128,1008577,2015-12-05,2016-03-26,22801
129,1009752,2014-10-18,2014-11-08,71037
130,1010686,2014-11-01,2014-11-20,20169
131,1008318,2015-11-05,2015-11-19,20137
132,1010845,2015-06-02,2015-07-28,29208
133,1010544,2014-10-01,2015-03-31,85710
134,1010545,2014-10-01,2016-03-31,85737
135,1000814,2016-01-01,2016-12-31,72205
136,1002848,2016-11-12,2017-04-29,53705
137,1010186,2014-09-06,2014-10-25,97124
138,1001244,2013-12-08,2014-04-27,97219
139,1008942,2014-05-09,2014-10-31,37214
140,1004535,2013-11-02,2014-04-26,71901
141,1010937,2015-06-01,2015-09-28,48446
142,1000118,2015-10-03,2016-03-26,97213
143,1010052,2014-10-18,2014-10-19,53033
144,1005558,2014-11-15,2015-03-14,13077
145,1012602,2016-05-14,2016-10-29,55350
146,1002820,2014-10-01,2015-03-31,91932
147,1008247,2016-06-08,2016-10-12,24348
148,1009970,2016-05-07,2016-10-29,53545
149,1008375,2015-12-01,2016-02-29,93720
150,1001038,2014-05-24,2014-09-27,60901
151,1011807,2016-11-12,2017-03-11,67205
152,1011993,2017-06-07,2017-10-25,66101
153,1012794,2017-07-01,2017-09-30,86401
154,1003269,2013-05-25,2013-11-16,12402
155,1002405,2015-11-14,2015-12-12,55947
156,1010416,2014-10-01,2014-11-26,70503
157,1012785,2017-06-13,2017-09-26,95602
158,1009803,2015-05-05,2015-06-02,97401
159,1000307,2014-09-04,2014-09-18,82070
160,1012750,2016-09-03,2016-11-19,66044
161,1012618,2016-05-04,2016-10-26,20175
162,1003937,2016-01-01,2016-12-31,45211
163,1011527,2016-06-04,2016-09-24,83501
164,1010993,2015-01-03,2015-03-21,28037
165,1000905,2014-05-04,2014-10-26,48146
166,1011688,2015-11-07,2016-03-19,65101
167,1005431,2015-09-05,2015-11-14,87107
168,1011233,2015-10-15,2016-03-31,97885
169,1011773,2016-09-26,2016-10-17,60626
170,1012815,2017-05-06,2017-10-07,49858
171,1006501,2015-10-03,2015-11-21,35758
172,1011624,2016-01-01,2016-12-31,20878
173,1001102,2016-11-01,2017-03-31,37408
174,1008221,2015-12-05,2016-12-03,23103
175,1012135,2016-06-07,2016-10-25,54220
176,1012781,2016-09-03,2016-12-31,32446
177,1000188,2013-11-09,2015-05-02,56377
178,1008339,2013-11-01,2014-04-25,97477
179,1012575,2016-12-03,2017-04-08,28105
180,1011837,2016-06-16,2016-10-14,85201
181,1010631,2015-11-21,2015-12-19,42129
182,1000204,2016-01-09,2016-04-02,27609
183,1012523,2016-10-01,2016-10-29,55401
184,1009077,2014-11-02,2015-04-30,39202
185,1009748,2014-05-01,2014-10-01,39202
186,1003461,2013-11-01,2014-04-30,28777
187,1012314,2016-11-19,2017-04-15,53566
188,1006547,2014-11-01,2014-12-27,48162
189,1010201,2014-06-01,2014-10-31,48162
190,1006938,2014-10-04,2014-11-15,71201
191,1002538,2015-03-07,2015-12-05,32344
192,1008852,2014-11-08,2015-04-25,55362
193,1006269,2014-09-06,2014-11-01,20774
194,1000008,2016-05-21,2016-10-29,81401
195,1012640,2016-06-21,2016-10-31,35601
196,1002673,2014-11-01,2015-04-25,52314
197,1012725,2016-06-25,2016-09-24,99504
198,1012224,2016-11-26,2017-04-29,49440
199,1005489,2014-11-01,2015-04-25,47150
200,1005527,2016-10-01,2017-03-04,43054
201,1010860,2015-11-07,2016-04-02,17349
202,1005991,2013-05-08,2013-09-18,23116
203,1000298,2012-09-01,2012-10-31,55428
204,1012707,2016-10-05,2016-10-26,20003
205,1012703,2016-12-03,2017-03-11,20008
206,1003592,2014-09-05,2014-10-17,49337
207,1008055,2013-10-04,2014-04-25,85621
208,1011101,2015-11-07,2016-04-30,37135
209,1006138,2016-09-01,2016-09-08,98045
210,1004592,2016-05-06,2016-10-28,64116
211,1003742,2014-01-11,2014-03-22,44145
212,1002120,2014-11-21,2015-04-17,55057
213,1012773,2017-06-03,2017-10-28,43906
214,1000235,2016-11-12,2016-12-24,13501
215,1011106,2015-11-05,2016-03-31,37363
216,1010959,2015-04-04,2015-05-16,10562
217,1011716,2016-05-04,2016-08-31,73107
218,1008927,2014-12-01,2015-04-25,30269
219,1005133,2016-05-18,2016-09-28,66204
220,1011684,2016-04-07,2016-10-27,38112
221,1008048,2013-05-04,2013-10-19,47460
222,1010886,2015-12-19,2016-04-16,45056
223,1008946,2016-06-12,2016-09-25,97135
224,1002262,2015-11-21,2016-04-16,60067
225,1008939,2013-10-06,2013-12-29,34209
226,1010323,2016-01-01,2016-12-31,72855
227,1009895,2016-04-24,2016-12-18,11215
228,1003399,2014-09-01,2014-11-01,39568
229,1010568,2014-11-01,2015-04-30,23803
230,1011820,2016-05-07,2016-10-01,85004
231,1002870,2016-11-26,2016-12-31,19460
232,1012268,2016-11-26,2016-12-17,49080
233,1002350,2013-06-05,2013-10-31,90094
234,1003678,2014-06-11,2014-08-27,98362
235,1012547,2016-11-05,2017-02-25,97201
236,1004097,2014-11-01,2014-12-20,97227
237,1001985,2013-10-05,2013-12-21,23704
238,1004395,2015-11-07,2016-04-16,99350
239,1001535,2012-12-01,2013-05-31,10011
240,1003504,2012-10-01,2017-04-29,33950
241,1010327,2014-10-01,2015-05-31,33950
242,1001442,2015-06-06,2015-10-31,46617
243,1003611,2014-09-23,2014-12-09,70806
244,1009710,2016-09-22,2016-12-15,70807
245,1009020,2014-07-01,2014-09-01,47978
246,1009907,2017-05-01,2017-09-01,85032
247,1012700,2016-12-01,2016-12-22,30153
248,1003081,2016-06-01,2016-08-31,27804
249,1012756,2016-10-01,2017-04-28,34134
250,1003915,2015-11-07,2015-12-12,54848
251,1010891,2016-10-01,2016-12-17,71270
252,1005214,2014-01-04,2014-03-29,24153
253,1005040,2015-08-04,2015-10-20,84101
254,1012696,2016-09-05,2016-11-05,32459
255,1000521,2012-09-01,2012-03-31,32459
256,1010462,2015-05-09,2015-10-31,48317
257,1009082,2014-06-17,2014-08-12,29928
258,1001875,2014-05-24,2014-09-27,85901
259,1005359,2016-10-22,2016-11-19,71101
260,1010022,2016-01-01,2016-12-31,72761
261,1011811,2016-01-01,2016-12-31,93093
262,1005480,2015-05-14,2015-10-10,13152
263,1006104,2012-12-01,2013-03-31,20136
264,1006100,2012-12-01,2013-03-31,22124
265,1006101,2012-11-01,2012-12-31,20190
266,1001657,2014-11-01,2015-03-28,27713
267,1001461,2013-11-14,2014-03-13,91030
268,1011320,2016-06-01,2016-10-13,46227
269,1000226,2017-01-14,2017-03-11,22407
270,1007809,2016-12-03,2017-04-22,55101
271,1012278,2016-06-04,2016-08-27,33701
272,1000699,2013-11-15,2014-04-18,45459
273,1011279,2015-11-14,2016-02-13,12175
274,1007271,2014-10-11,2015-05-23,88063
275,1011955,2016-01-01,2016-03-31,30075
276,1011873,2017-05-04,2017-08-31,29687
277,1010347,2014-11-02,2015-05-31,85281
278,1001625,2014-06-20,2014-10-03,83422
279,1000274,2016-06-07,2016-08-30,49009
280,1000574,2013-11-07,2014-04-24,93534
281,1004439,2013-04-15,2013-11-26,27514
282,1003140,2013-04-17,2013-11-20,44110
283,1008326,2013-11-02,2014-03-29,28036
284,1003881,2016-04-07,2016-10-27,28677
285,1008419,2014-05-10,2014-10-11,29745
286,1010855,2016-01-01,2016-04-02,40205
287,1001866,2014-11-01,2015-04-25,49684
288,1009939,2016-12-01,2017-04-29,43604
289,1011717,2016-09-01,2016-11-01,54631
290,1008842,2016-05-31,2016-11-22,35401
291,1001563,2013-07-03,2013-09-25,85308
292,1006371,2013-12-03,2014-04-29,39667
293,1002958,2016-12-03,2017-05-06,19406
294,1012198,2016-10-01,2017-04-29,85012
295,1010840,2016-11-02,2017-03-01,29646
296,1001278,2014-11-08,2014-12-13,52345
297,1004134,2016-10-17,2016-11-28,21704
298,1012402,2017-03-01,2017-04-01,29070
299,1010577,2017-05-06,2017-10-28,60466
300,1002913,2013-06-01,2013-12-14,53093
301,1000455,2014-06-01,2014-10-25,45895
302,1008823,2016-12-07,2017-04-26,13480
303,1009773,2014-11-08,2015-04-18,54981
304,1011662,2016-01-23,2016-04-09,28173
305,1009835,2016-11-01,2017-04-15,64870
306,1000255,2013-12-07,2014-04-26,19380
307,1007299,2015-12-06,2016-04-24,22205
308,1010089,2014-08-06,2014-09-24,59759
309,1008361,2013-05-04,2013-05-25,43571
310,1009023,2016-03-05,2016-03-26,23185
311,1005694,2014-06-28,2014-09-15,23938
312,1011693,2015-09-05,2015-12-19,31410
313,1011147,2015-06-02,2015-10-03,40391
314,1001690,2016-05-01,2016-12-22,22601
315,1010813,2016-06-09,2016-09-01,95492
316,1001536,2015-11-07,2016-03-26,75494
317,1012503,2016-11-05,2017-03-01,54495
318,1003041,2012-10-01,2012-12-31,80863
319,1007309,2015-12-11,2016-04-23,18940
320,1011187,2016-10-15,2016-12-01,19067
0,1002928,2012-08-23,2012-11-01,18015
