abbvr,suffix
ALLEE,ALY
ALLEY,
ALLY,
ALY,
ANEX,ANX
ANNEX,
ANNX,
ANX,
ARC,ARC
ARCADE,
AV,AVE
AVE,
AVEN,
AVENU,
AVENUE,
AVN,
AVNUE,
BAYOO,BYU
BAYOU,
BCH,BCH
BEACH,
BEND,BND
BND,
BLF,BLF
BLUF,
BLUFF,
BLUFFS,BLFS
BOT,BTM
BTM,
BOTTM,
BOTTOM,
BLVD,BLVD
BOUL,
BOULEVARD,
BOULV,
BR,BR
BRNCH,
BRANCH,
BRDGE,BRG
BRG,
BRIDGE,
BRK,BRK
BROOK,
BROOKS,BRKS
BURG,BG
BURGS,BGS
BYP,BYP
BYPA,
BYPAS,
BYPASS,
BYPS,
CAMP,CP
CP,
CMP,
CANYN,CYN
CANYON,
CNYN,
CAPE,CPE
CPE,
CAUSEWAY,CSWY
CAUSWA,
CSWY,
CEN,CTR
CENT,
CENTER,
CENTR,
CENTRE,
CNTER,
CNTR,
CTR,
CENTERS,CTRS
CIR,CIR
CIRC,
CIRCL,
CIRCLE,
CRCL,
CRCLE,
CIRCLES,CIRS
CLF,CLF
CLIFF,
CLFS,CLFS
CLIFFS,
CLB,CLB
CLUB,
COMMON,CMN
COMMONS,CMNS
COR,COR
CORNER,
CORNERS,CORS
CORS,
COURSE,CRSE
CRSE,
COURT,CT
CT,
COURTS,CTS
CTS,
COVE,CV
CV,
COVES,CVS
CREEK,CRK
CRK,
CRESCENT,CRES
CRES,
CRSENT,
CRSNT,
CREST,CRST
CROSSING,XING
CRSSNG,
XING,
CROSSROAD,XRD
CROSSROADS,XRDS
CURVE,CURV
DALE,DL
DL,
DAM,DM
DM,
DIV,DV
DIVIDE,
DV,
DVD,
DR,DR
DRIV,
DRIVE,
DRV,
DRIVES,DRS
EST,EST
ESTATE,
ESTATES,ESTS
ESTS,
EXP,EXPY
EXPR,
EXPRESS,
EXPRESSWAY,
EXPW,
EXPY,
EXT,EXT
EXTENSION,
EXTN,
EXTNSN,
EXTS,EXTS
FALL,FALL
FALLS,FLS
FLS,
FERRY,FRY
FRRY,
FRY,
FIELD,FLD
FLD,
FIELDS,FLDS
FLDS,
FLAT,FLT
FLT,
FLATS,FLTS
FLTS,
FORD,FRD
FRD,
FORDS,FRDS
FOREST,FRST
FORESTS,
FRST,
FORG,FRG
FORGE,
FRG,
FORGES,FRGS
FORK,FRK
FRK,
FORKS,FRKS
FRKS,
FORT,FT
FRT,
FT,
FREEWAY,FWY
FREEWY,
FRWAY,
FRWY,
FWY,
GARDEN,GDN
GARDN,
GRDEN,
GRDN,
GARDENS,GDNS
GDNS,
GRDNS,
GATEWAY,GTWY
GATEWY,
GATWAY,
GTWAY,
GTWY,
GLEN,GLN
GLN,
GLENS,GLNS
GREEN,GRN
GRN,
GREENS,GRNS
GROV,GRV
GROVE,
GRV,
GROVES,GRVS
HARB,HBR
HARBOR,
HARBR,
HBR,
HRBOR,
HARBORS,HBRS
HAVEN,HVN
HVN,
HT,HTS
HTS,
HIGHWAY,HWY
HIGHWY,
HIWAY,
HIWY,
HWAY,
HWY,
HILL,HL
HL,
HILLS,HLS
HLS,
HLLW,HOLW
HOLLOW,
HOLLOWS,
HOLW,
HOLWS,
INLT,INLT
IS,IS
ISLAND,
ISLND,
ISLANDS,ISS
ISLNDS,
ISS,
ISLE,ISLE
ISLES,
JCT,JCT
JCTION,
JCTN,
JUNCTION,
JUNCTN,
JUNCTON,
JCTNS,JCTS
JCTS,
JUNCTIONS,
KEY,KY
KY,
KEYS,KYS
KYS,
KNL,KNL
KNOL,
KNOLL,
KNLS,KNLS
KNOLLS,
LK,LK
LAKE,
LKS,LKS
LAKES,
LAND,LAND
LANDING,LNDG
LNDG,
LNDNG,
LANE,LN
LN,
LGT,LGT
LIGHT,
LIGHTS,LGTS
LF,LF
LOAF,
LCK,LCK
LOCK,
LCKS,LCKS
LOCKS,
LDG,LDG
LDGE,
LODG,
LODGE,
LOOP,LOOP
LOOPS,
MALL,MALL
MNR,MNR
MANOR,
MANORS,MNRS
MNRS,
MEADOW,MDW
MDW,MDWS
MDWS,
MEADOWS,
MEDOWS,
MEWS,MEWS
MILL,ML
MILLS,MLS
MISSN,MSN
MSSN,
MOTORWAY,MTWY
MNT,MT
MT,
MOUNT,
MNTAIN,MTN
MNTN,
MOUNTAIN,
MOUNTIN,
MTIN,
MTN,
MNTNS,MTNS
MOUNTAINS,
NCK,NCK
NECK,
ORCH,ORCH
ORCHARD,
ORCHRD,
OVAL,OVAL
OVL,
OVERPASS,OPAS
PARK,PARK
PRK,
PARKS,PARK
PARKWAY,PKWY
PARKWY,
PKWAY,
PKWY,
PKY,
PARKWAYS,PKWY
PKWYS,
PASS,PASS
PASSAGE,PSGE
PATH,PATH
PATHS,
PIKE,PIKE
PIKES,
PINE,PNE
PINES,PNES
PNES,
PL,PL
PLAIN,PLN
PLN,
PLAINS,PLNS
PLNS,
PLAZA,PLZ
PLZ,
PLZA,
POINT,PT
PT,
POINTS,PTS
PTS,
PORT,PRT
PRT,
PORTS,PRTS
PRTS,
PR,PR
PRAIRIE,
PRR,
RAD,RADL
RADIAL,
RADIEL,
RADL,
RAMP,RAMP
RANCH,RNCH
RANCHES,
RNCH,
RNCHS,
RAPID,RPD
RPD,
RAPIDS,RPDS
RPDS,
REST,RST
RST,
RDG,RDG
RDGE,
RIDGE,
RDGS,RDGS
RIDGES,
RIV,RIV
RIVER,
RVR,
RIVR,
RD,RD
ROAD,
ROADS,RDS
RDS,
ROUTE,RTE
ROW,ROW
RUE,RUE
RUN,RUN
SHL,SHL
SHOAL,
SHLS,SHLS
SHOALS,
SHOAR,SHR
SHORE,
SHR,
SHOARS,SHRS
SHORES,
SHRS,
SKYWAY,SKWY
SPG,SPG
SPNG,
SPRING,
SPRNG,
SPGS,SPGS
SPNGS,
SPRINGS,
SPRNGS,
SPUR,SPUR
SPURS,SPUR
SQ,SQ
SQR,
SQRE,
SQU,
SQUARE,
SQRS,SQS
SQUARES,
STA,STA
STATION,
STATN,
STN,
STRA,STRA
STRAV,
STRAVEN,
STRAVENUE,
STRAVN,
STRVN,
STRVNUE,
STREAM,STRM
STREME,
STRM,
STREET,ST
STRT,
ST,
STR,
STREETS,STS
SMT,SMT
SUMIT,
SUMITT,
SUMMIT,
TER,TER
TERR,
TERRACE,
THROUGHWAY,TRWY
TRACE,TRCE
TRACES,
TRCE,
TRACK,TRAK
TRACKS,
TRAK,
TRK,
TRKS,
TRAFFICWAY,TRFY
TRAIL,TRL
TRAILS,
TRL,
TRLS,
TRAILER,TRLR
TRLR,
TRLRS,
TUNEL,TUNL
TUNL,
TUNLS,
TUNNEL,
TUNNELS,
TUNNL,
TRNPK,TPKE
TURNPIKE,
TURNPK,
UNDERPASS,UPAS
UN,UN
UNION,
UNIONS,UNS
VALLEY,VLY
VALLY,
VLLY,
VLY,
VALLEYS,VLYS
VLYS,
VDCT,VIA
VIA,
VIADCT,
VIADUCT,
VIEW,VW
VW,
VIEWS,VWS
VWS,
VILL,VLG
VILLAG,
VILLAGE,
VILLG,
VILLIAGE,
VLG,
VILLAGES,VLGS
VLGS,
VILLE,VL
VL,
VIS,VIS
VIST,
VISTA,
VST,
VSTA,
WALK,WALK
WALKS,WALK
WALL,WALL
WY,WAY
WAY,
WAYS,WAYS
WELL,WL
WELLS,WLS
WLS,